year;month;average_price (0-38);average_price (38-60);average_price (60-90)
2021;1;1479;1919;2785
2020;12;1508;1939;2806
2020;11;1517;1937;2790
2020;10;1528;1940;2765
2020;9;1557;1973;2739
2020;8;1551;2015;2834
2020;7;1564;2029;2829
2020;6;1571;2020;2861
2020;5;1577;2024;2857
2020;4;1632;2093;2919
2020;3;1718;2147;2994
2020;2;1732;2165;2987
2020;1;1758;2168;2959
2019;12;1767;2179;2984
2019;11;1774;2162;3044
2019;10;1741;2140;2905
2019;9;1730;2112;2904
2019;8;1663;2087;2834
2019;7;1649;2076;2856
2019;6;1631;2045;2885
2019;5;1642;2014;2872
2019;4;1638;2018;2899
2019;3;1673;2040;2851
2019;2;1678;2084;2835
2019;1;1679;2103;2906
